Village_ID,Latitude,Longitude,Affected_People,Cluster
Village_069,30.334550662157266,76.88873692700506,1484,0
Village_070,31.137758156486456,74.85791462036683,1833,1
Village_071,30.52518762567861,76.01886534533512,2357,2
Village_072,30.286553663891418,76.6391192862817,2419,0
Village_073,31.333622198676057,74.33980347135996,2142,1
Village_074,30.575883683275983,75.67046213882753,1436,2
Village_075,30.390613324047912,76.51486108290509,1468,0
Village_076,31.710833803030795,74.58687208801338,2476,1
Village_077,30.9203730514561,75.44996039575928,2205,2
Village_078,30.635356505181157,76.7531694904342,1785,0
Village_079,31.147815721215018,74.54176123602971,2042,1
Village_080,31.006557191954798,75.94002262184303,2291,2
Village_081,30.510266690207114,77.72845602172914,2015,0
Village_082,32.09580846479023,75.21587091367644,2009,1
Village_083,30.789655764375876,76.11563922717264,1001,2
Village_084,30.387757979338268,76.08042487875971,186,0
Village_085,32.440130498335726,74.21645718259289,787,1
Village_086,30.754913868113537,75.87806954938928,189,2
Village_087,30.164823846973697,76.76113270893858,404,0
Village_088,32.176133049396505,74.91499285002489,617,1
Village_089,30.644371678899002,75.92576050635368,224,2
Village_090,31.16616258508736,77.02519481541218,1629,0
Village_091,30.921200094669835,74.9352590101693,2008,1
Village_092,30.744425439523283,75.2658036743183,288,2
Village_093,30.50674554764316,76.68301431795953,1081,0
Village_094,31.51301351809737,74.7587535827213,700,1
Village_095,31.517908984098383,75.99174359883632,1684,2
Village_096,30.46205369291114,76.95797284526782,1568,0
Village_097,31.098220511916093,74.70051807449681,954,1
Village_098,30.816912813577666,76.5052019881653,334,0
Village_099,29.195556430975824,76.02146432553299,515,0
Village_100,30.931763449954822,74.4149325054423,1578,1
Village_101,30.745984429656055,75.89575920205013,999,2
Village_102,30.350478115807395,77.20179892495761,2155,0
Village_103,31.286471972133217,75.03173621599215,269,1
Village_104,30.829139865958954,75.871313812491,1505,2
Village_105,30.369731070837936,76.61174573608236,1031,0
Village_106,31.414703212780033,75.60896117456569,1409,2
Village_107,30.846875216737544,76.0559110222696,2406,2
Village_108,30.15974853188167,76.45265939145,865,0
Village_109,31.423722335069524,75.16736073395737,383,1
Village_110,31.233203882846343,76.35839258661183,2205,2
Village_111,30.614501741593635,76.60037009467327,776,0
Village_112,31.823107953662774,74.62145521472539,2036,1
Village_113,30.892684442112547,75.89106458415807,992,2
Village_114,30.095779045136574,76.78667806121136,2333,0
Village_115,31.553811578870473,75.25457189819552,1902,1
Village_116,30.757229626530044,75.94156806959036,2266,2
Village_117,30.786917582504014,76.38735134457146,868,2
Village_118,31.546271320745586,75.16889114887375,126,1
Village_119,31.013458223370954,75.8044499309713,2381,2
Village_120,30.999311173943987,76.75282947889141,1176,0
Village_121,31.277893916475104,74.4450339855243,1714,1
Village_122,31.16973741533309,76.08346963621442,1995,2
Village_123,30.32571362950358,76.06596096997995,238,0
Village_124,30.8984937879794,75.48965103079836,2230,2
Village_125,30.61107598112262,75.73751495542145,443,2
Village_126,30.5448444695164,76.85525827583498,342,0
Village_127,31.715738299888052,74.69256988862011,274,1
Village_128,31.095688220915083,76.15538955700066,295,2
Village_129,29.823170480475934,75.8873876789682,2050,0
Village_130,31.39752039484345,75.34603897818687,300,1
Village_131,31.0088176479593,76.36637467593233,1118,2
Village_132,30.224186515273292,76.37840300985339,1224,0
Village_133,31.74295149611833,74.5804691697567,1890,1
Village_134,31.07244026933014,75.88110555214611,999,2
Village_135,30.57155039709889,76.23957283483995,636,0
Village_136,31.654378432581606,75.21422650722546,2483,1
Village_137,30.93418663449209,75.57944657565058,2426,2
Village_138,31.12651645414852,76.52217933976748,1769,2
Village_139,32.383613860129046,74.60142835298919,1502,1
Village_140,30.86117382252967,76.19170819426839,1588,2
Village_141,30.036097355236727,76.17021257409459,1212,0
Village_142,31.99141014140629,74.2364540362514,286,1
Village_143,31.019614591522004,76.50665979372556,842,2
Village_144,30.529971628614373,76.71968333700462,490,0
Village_145,31.167918377542776,75.51101056804903,2338,2
Village_146,30.874236109472832,75.75122258385447,2045,2
Village_147,29.730402914818193,76.85385533095788,2427,0
Village_148,31.726472305260593,74.96755306223973,1224,1
Village_149,30.34195031942197,75.64021874196618,235,2
Village_150,30.420786258149892,76.48582190161608,2499,0
Village_151,31.631835294901364,74.88644320781766,1945,1
Village_152,30.790441702124244,75.29030678461187,409,2
Village_153,30.372103471099162,76.56005359192056,648,0
Village_154,32.00115638493866,75.40947984892136,959,1
Village_155,31.016309904192855,75.5880297122052,1348,2
Village_156,30.37020151387486,76.92294199915654,2145,0
Village_157,32.35126177370869,75.48436929485513,2203,1
Village_158,30.542865863458246,75.75581694672486,169,2
Village_159,30.5558815823548,76.85902104513632,1789,0
Village_160,31.478222385629852,74.75019197648146,134,1
Village_161,31.270448570397356,75.23444117975191,1041,1
Village_162,30.64012224608615,76.33202276263535,935,0
Village_163,32.15582496823361,74.89593317314693,1051,1
Village_164,31.243541581855528,75.96574519497237,2378,2
Village_165,29.733816146225696,76.36055830538618,1201,0
Village_166,31.627830301114145,75.01109176447996,889,1
Village_167,30.4434356748233,76.08438539209051,282,2
Village_168,29.94456183330351,76.55068564622314,929,0
Village_169,31.60806231595439,75.20429981217544,1702,1
Village_170,30.743660785258264,75.68351502821098,198,2
Village_171,30.144409833569643,76.10249450870818,524,0
Village_172,31.128068895768617,74.80296351163035,974,1
Village_173,31.587653796520733,75.8623422431901,194,2
Village_174,30.510106146741688,76.80162227540153,296,0
Village_175,31.59068518260821,74.79266064016338,2034,1
Village_176,30.64225573970982,76.05282654054244,602,2
Village_177,30.233731905996923,75.57432759234254,1583,2
Village_178,31.41071653605901,74.10275448031531,1893,1
Village_179,31.101794937069517,75.95893755409023,1328,2
Village_180,29.989706008296572,76.40781885813614,1173,0
Village_181,31.067743787909848,74.94121227255353,746,1
Village_182,30.834583207103854,75.83327319291925,872,2
Village_183,30.103699490515115,76.00145819873495,387,0
Village_184,31.706377956385882,75.18869744282988,1729,1
Village_185,30.897209575539183,76.3679804486115,308,2
Village_186,31.161015291222334,76.73508644244055,1889,2
Village_187,31.26696384598574,74.80338146267074,781,1
Village_188,31.388506177574996,75.39162274849583,1469,1
Village_189,29.840501349163297,76.5770392328417,344,0
Village_190,31.469661534009017,74.65090247441097,485,1
Village_191,30.692662126516396,75.54760323061205,516,2
Village_192,29.45403416741822,76.6196247705443,2457,0
Village_193,31.546368183596755,74.55235271828545,2426,1
Village_194,30.98306353466591,75.94575209109851,718,2
Village_195,30.50532101566853,76.0378556643205,2330,2
Village_196,32.34516217138881,75.43686425440306,771,1
Village_197,30.668081684368953,76.0497095340076,876,2
Village_198,30.427915072425346,75.4206658044391,681,2
Village_199,31.72090287560252,74.55348918121346,792,1
Village_200,30.50130039499354,75.94370993299614,1254,2
